src,tgt_translated,baseline_src,silver_src
I know. Well I get my tax refund on Thursday so if they cut it off it won't be for that long.,我 知道 。 我 的 税务 退款 将 于 星期四 到达 ， 如果 他们 取消 了 退款 ， 那么 就 不会 太久 了 。,"""Ah know la, got my tax refund on Thursday ah, if they cut off early, no worry, no long lah.""","I know lah, my tax refund from IRAS coming on Thursday so cut off lor, won't be for long ah."
Dont forget hor now wat time already,别忘了 现在 已经 什么 时间 了,"""勿忘啦，现今时间都多大了 leh!""","Don't forget hor lah, time now already 5pm ah."
Are you free now?can i call now?,你 现在 有空 吗 ？ 我 现在 可以 打电话 吗 ？,"Free la now, can call ah now lah.",Free lar now? You wanna call me now?
Haha... ü must look at the updated sheet also leh,哈哈 … 我 也 要 看 更新 的 表格 了   leh,哈哈...你也要去看 updated sheet lah.,"Haha... ü go check out **the** updated sheet also leh, then you must **look** lah!"
Aiya!! Dear dear sleep so late yesterday!I want to Bao-bao u also!!Hugs u tighter,哎呀 ！ ！ 亲亲 昨天 睡 的 太晚 了 ！ 我要 抱抱 你 也 ！ ！ 拥抱 你 更 紧 ！,哎呀!!亲亲昨天睡晚了啊！要抱抱你也！紧紧抱你,"Aiya!! Ah dear, sleep so late yesterday lah! I want Bao-bao u also!! Hugs u tighter now leh!!"
I finish class at 8 today..,我 今天 8 点 上课 完毕,"Today class end at 8 leh, finish already.",I got class end at 8 today..
Ok enjoy . R u there in home.,好 吧 ， 享受 。 您 在家 吗 ？,"""Enjoy lah! U stay home ah?""","Ok enjoy lah, r u there in home."
But not cool eh. Personal better. Saliva and all.,可不 cool 啊 。 个人 更好 。 口水 什么 的 。,"""Seh reward nua lor, nothin' but more善 ah, but not cool la, self improvement lah, got saliva and all leh.""","Actually, reward lah, but lah, nope, reward instead, shall be more goodness la, but actually, more better one la, saliva la, no sweat, personal best one, reward punya reward lah, but reward actually reward more better one, reward punya reward punya reward."
Explain to u all later.,後 面解釋,"""Explain la after dat, okay?""","""Later lah, I'll **ex**plain **la** everything to u all, okay?"""
"I mean, he is going to call back about whether it is 100% sure if he can give that to us, but he probably can.",他 将 回电 问问 他 是否 确定 可以 给 我们 ， 但 他 大概 可以 。,"He gonna kall back leh, ask if 100% sure can give us dat, but probablah can lah.","He mean, he go call back lar, 100% sure or not whether he can give us that, but probably he can."
"Aight, text me tonight and we'll see what's up",今晚 我会 给 你 发短信 ， 我们 可以 看看 情况,"""Tonight lah, text me hor, then lah see lah what's up lah!""","Tonight lah, text me back leh, then lah we'll catch a peek lah, see what's going on lah, and find out what's the situation up to leh."
Thank you so much for the moon cakes they are very nice,感谢您 送 的 月饼 ， 它们 真的 很 好吃,"""Xiè xiè lah, mooncakes leh, very nice lah!"" (谢谢了，月饼呢，很好吃了!)","Ah mah thanks lah, **xie xie** for the **moon cakes**, **they** very **nice** lah, **are** really **very** good **cakes**, thank you so much!"
de de ask if u got help him play his mousehunt..,你 问 我 是否 帮助 他 玩 MouseHunt,"""你de ask la, whether u help him play mousehunt ah?""","de de ask la, u got help him play mousehunt.. his game ah?"
m biddin all my maths and computin modules first...,我 正在 首先 完成 所有 我 的 数学 和 计算 模块,"要先完成所有我de maths leh, and computing modules la, kaya after dat, can focus on others.","I'm biddin all my maths modules first, then go computin la, after dat finish all my modules, got it?"
So need me to go back?,需要 我 回去 ？,"Go back mah, need return la, go back to origin la, return to source la, need back la.","""Need ah, go back me la, go back?"""
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,真的 亲爱 的 ， 我 晚上 坐下 来 祈祷 ， 感到 非常 好 。 我 在 不久 后 就 发 了 短信 给 你 。,"""真实lah dear..我坐下祈祷晚上feel so.so,我就SMS你在某个时间...""","Ya lah, true dear..i really feel so blessed after praying evening la, so i sms'd you later hor, hope you get my message in time."
Awesome :-) keep it with you.. will find a way to collect it.,太好了 ！ 带 在 身边 ， 总会 找到 回收 它 的 方法 。,"""Wow leh! Keep it down leh, jian ah! Will find a way to collect it lah, don't worry lah!""","""Awesome lah, keep dis reward with you, one day you sure got way collect lah, it."""
Dun wan lar still so ex...,不要 难忘 了 还 很 奢,Dun wan lar still so exaggerated lah!,"Still dun wan lar, so expehct lah, still wanna go out again lor, but expehct to fail lah, dun wanna go out lar, still expehct too much lah."
Wah... Okie okie... Muz make use of e unlimited... Haha...,哇 … 好好 … 必须 使出 无限 的 … 哈哈 …,哇...  Okie lar... Mesti make use of ah unlimited resources la... Haha...,""" Wah, okie okie, got to make full use of dis unlimited resource lah!"""
Can i have my icq no.?,我 没有 ICQ 号码 。,"Wah, sorry lah, I no got ICQ no., only got WhatsApp, Facebook, or WeChat lah, u can add me lor.","I got your ICQ number leh, can I have my ICQ number ah?"
I have given to janani. Take from her,我 已经 给 了 简妮 。 从 她 那里 取 走 。,"I giav to janani lah, take from her lah.","I give to janani, take from her lah."
Orh. Anyway are you free tmr afternoon?,明天 下午 你 有空 吗 ？,"Kan leh, mai free ah tmr afternoon, busy leh.","Orh, anyway, you lah, are free tmr afternoon?"
"hahaha oh no should record them all down:P haha is it, ok lor idm:Plater he'll be wondering who I am! Haha yeah damn far ><",哈哈 哦 不 应该 记下来 : P   haha   是 的 ， ok   lor   IDM ： Plater   他会 想 知道 我 是 谁 ！ 哈哈 是 的 damn 远 < >,"哈哈 oh no lah, record down semua la:P hah okay lah idm:Plater leh, he'll be wonder who ah kao! Haha yeah far leh, ><","Hahaha oh no, actually should record them all down:P hahaha lor, idm:Plater he'll be wondering who I am! Haha yeah damn far ><, no wonder lah, is like far off mah, oh no, I no know, I just record lor, he'll be wondering who I am, oh no, not far lah, >< oh no, hahaha, idm:Plater, lor."
Oh ok then I noe how to approach the question le thanks,好 ！,"Lah, no worries lah! U understand now leh, go ahead approach question with confidence ah!","No worries lah, now u understand how to take approach to solve question, just give me a call or msg me if u need help, then u can say ""Thanks lah"""
Ya iphone show off lohhhhh,哎呀 ！ 我 iPhone 秀 了 哎 哎 哎 ！,"Ya iPhone show off leh, leh show off iPhone, zhèng zhì shì diǎn xiǎng yǒu jiàn dé xiǎng zhōng, but really just wanna show off iPhone lah.","Ya iPhone show off leh lohhhhh, leh everyone jealous one."
That's totes fine yo!,嗨 ！,"""Dat's tats fine la, kiasu hor, do more good punya!""","That's totes fine la, reward for doing good is nothing but more good, no worry ah, still can get to enjoy la, you know what I mean, yo!"
Umm could you get external helps then?,需要 外部 帮助,"""Got external help la, then lor, ah?""","You can lah get external helps from outside lah, but first you need to ask yourself, ""You want external helps to assist you?"""
Basically is find companies lah. Haha. Wk 2 must have a list leh.,基本上 是 找 公司 喇 。 哈哈 。 周二 必须 有 名单 喇 。,"Jiayou, basically kena find companies ah. Haha. Week 2 must got one list lor.","Basically, wk 2 must **find** companies lah, **have** a **list** leh, **is** like this, **haha.** Must **have** **list** to **find** **companies** la, **wk 2** **must** do **find** **companies** **leh**, **haha.**"
Get me out of this dump heap. My mom decided to come to lowes. BORING.,请 让 我 离开 这个 烂摊子 。 我 的 妈妈 决定 来 低 货超 market 。 好 无聊 。,"""Pull me outta dis rubbish heap lah, mama la decide come to Lowes, super boring mah!""","Ahah, get me outta this dump heap lah, my ah ma decide come to Lowes. So boring."
I thinking of u too..,我 也 在 想 你,U also lah think of me..,I lah thinking of u too..
If you're thinking of lifting me one then no.,你 如果 想 抬举 我 一把 ， 那么 不行 。,"If u r thinkin lift me one lar, no lah.","Thinking of lifting me one then no, no lah, one got to be serious, no lifting me lah, me no want to be lifted of one, then no go lah."
<#> th nov is my last paper.,第十一 号 是 我 的 最后 一篇 论文 。,Zai Nov ni si lah paper last lah.,<#> this nov is my last paper lah.
I watching tv lor. Later going out to buy something. U leh? U going out?,我 在 看电视 哟 。 后来 要 出去 买 东西 。 您 呢 ？ 您 出去 吗 ？,我看电视呢，后来要出门去买点东西。你可以吗？你也要出门吗？,"I watching TV lor, later going out to buy something leh? U going out? U leh? I plan to watch TV first, then later going out to buy something."
"No lah, my parent sitting at mac drink coffee n read newspaper...",我 的 父母 坐在 咖啡厅 喝咖啡 读 报纸 ...,Pa pa sit at kopitiam drink kopi n read bao nian bao.,"No lah, my parent sitting at mac, drink coffee n read newspaper, leh."
I'm sure you will! Sharing stories over fair trade coffee at ahipster cafe playing only the least known music,你 一定 会 ！ 在 hipster 咖啡厅 ， 喝 公平 贸易 咖啡 ， 听 最不常 听 的 音乐 ， 分享 故事,"你一定会 lah!  share story ah, over fair trade kopi at hipster kafe, only play lah least know music ah, chillax la!","You'll definitely get ur fix la! Enjoying tales over Kopi O fair trade at hipster cafe sipping on brews while chillin' to underground vibes - the most underground music, aka the least known tunes, man."
"Btw, u let me know whether can get the ebook for mno <#>  okay? Ifnot, i'll be buying the txtbk on monday. Thanks.",你 可以 從 這本 電子 書 中 獲取 嗎 ？ 如果 不能 ， 我 周一 就 會 買 文本 書籍 。 感謝 。,"Actually, u wanna know whether can get ebook lah, right? Okay, so ebook no got, then u gotta buy txtbk on Monday, alright?","Actually, I can help translate it with some Singlish flair, but no specific words requested. Here's the translation:

""By the way, u leh me know can get ebook for mno siok siok ke? Ifnot, I'll juz buy txtbk on mondy lah. Thanks!"""
Rly I nvr lie den u aggro me. I jus say the 1st thing in my mind! Unvr trusted me,我 真的 不 撒谎 ， 所以 当 你 生气 我 。 我 只 说 我 脑子里 的 第一句 话 ！ 你 不 信任 我,"""Rly la, never lie ah then u agi me. Jus say 1st thing in mind ah! Unver trusted me""","""Rly"" la, I no lie, but you get angry on me, I jus say wat on my mind, no matter if you trust me or not, unvr you trust me, I still speak my mind."
Lols I can go also la. Can't even giv u cheer den go wait niaz,哈哈 我 也 可以 啦 。 甚至 不能 给 你 加油 然后 等待 尼雅,"哈哈 我也可以去啊 lah, 不能给你加油就去等着了 niaz la.","Lols I also can go hor la, can't giv u cheer then just niaz wait la, u know."
One more! Coming over! Finally! =),终于 来 啦 ！ = ),"Lah, coming lah! Finally ah! =)","Finally! coming over! =) Ahah, finally arrive la, coming over now, see la!"
Yes. But at least it ate quite a lot of the worms. Very cute when itis eating.,好 吧 ， 但 至少 它 吃 了 很多 蚯蚓 。 吃 的 时候 很 可爱 。,"Yes lah, at least it makan banyak worms la, cute hor when it makan, especially leh, it's so kecharas when it gobbles down d worms lah.","Yes. At least itis chomping down banyak worms la, very cute leh when it's eating."
m not free at night. Any objections?,我 不 自由 夜晚 。 有 异议 吗 ？,"""Ah, tonight no free lar. Got objection hor?""","Me no free at night, got any objections?"
"No luck in generating an OTP. I've installed it but when i run, itthrows me an error.",没有 生成   OTP   的 运气 。 我 已经 安装 了 它 ， 但是 当 我 运行 时 ， 它 抛出 了 一個 错误 。,"""Cannot generate OTP lah, install already but runlah got error si, no luck ah!""","No luck lah, got no OTP. I've installed already but when I run, it throw me error."
Lol simi taking in the market?bo bian 1 la how to change.arga arga lor.,哈哈 ， 似似 进 市场 ？ 波便 一 啦 ， 如何 变 arga   arga 啦 。,"Hahah, Simi lah keng market? Bo bian 1 la, chang keng chang keng lor.","Simi leh go check out market?bo bian leh, change.arga arga lor. How to change leh, just lol la, go adjust leh."
Hi bro.. I'm sunny frm india.. I h0pe u stil remembr me...,哈 囉 兄弟 ， 我 是 印度 的 孙妮 ， 我 希望 你 还 记得 我,"Ni hao bro! Ah Sunny from India la, I still remember you lah, you hor!","Hi bro.. Ah, I'm sunny frm India here, I stil remembr u lah, hope u dun forget me..."
Alright im on my way.,我 已经 出发 了,"""Alright lah, on my way lor.""","""Alright, i'm on my road ahead lah."
Haha you too^^ won't get lost one! My dad was looking for hiscigarettes just now LOL!!,哈哈 你 也 一样 ^ ^ 不 迷路 一个 ！ 我 爸爸 刚刚 在 找 烟 抽 呢 哈哈 ！,哈哈你也咧^^不会丢路的！我爸爸今刚在找他抽烟的 cigarrettes啦哈哈,"Haha you too^^ won't get lost one! My dad was looking for his cigarettes just now LOL!! He say no worry, I help him find one lah, won't get lost for real one, you see, he just can't find it for a while, but I help him find it, so no need to get worried one, too^^ easy, you too!"
Humne to tjhe Google ki upadhi di hai na....,我們 已 經給 Google 的 權力 了 不是,"Got it! ""Actually, already got assign to Google leh...""","Actually, the correct translation is: ""Humne toh Google ki upadhi di hai na..."" -> ""Actually, we got Google's license na...""

Note: 
- ""Tjhe"" -> ""Toh"" (common Singlish usage)
- Corrected sentence structure for clarity"
Lame dog! I got new training programme le nxt time show u. Can buff up,哎 ， 狗 ！ 下次 见到 你 ， 我 带 新 训练 计划 ， 下次 见到 你 ， 我 带 新 训练 计划 ， 下次 见到 你 ， 我 可以   buff   up,"Hua pi dog! Got new train programme leh next time show u la, can buff up mah!","Lame dog! Ah, next time got new training programme, can train hard le, so dat my dog can buff up, no more lame lah!"
Hee. I love my boy too!! One day we shall hug each other when coding,哈哈 ， 我 也 爱 我 的 男孩 ！ ！ 有 一天 ， 我们 将 在 编码 时 拥抱 彼此,"Ahah, boleh lah!  ""Nah, Ah love my boy also la! One day, we can hug hug each other when coding, kan? ""  (nǎ, ā ài lù bǎo wǔ shí ài! yī tiān, wǒmen kěyǐ gāng gāng xiào xiào zhèng yī qián kǎi dìng kè)","Hee. Ahh, I got my little boy in my heart! One day, I'll hug him while we code together, we shall hold hands lah, every single day, we'll be there for each other."
They don't have them they said and I'm checking Walmart for the one we need,他们 说 没有 ， 我 现在 正在 沃尔玛 查找 我们 需要 的 那个,"They no got lah, they say, so me check Walmart lor, see got one we need ah, one lah.","They say got no lah, so I'm checking at Walmart lor, see if got one we need lah."
Bout 5 at nus. Can try earlier. U le?,五点 左右 在 南大 可以 试早 。 U 了 ？,五点在NUS试试，先试试看，你来吗（wéi lái ma）,"""Can try bout 5 at NUS leh, u can try earlier. U le?"""
<#>  would have taken forever!,如果 没有 这个 ， 我 可 就要 花 了 很 长时间 了 ！,"""lah, tak kena pakai sampai buntut hari pun! ""","""Wait lor, take lah forever! #<#>  will be super long time ah!"""
Then are you meeting us somewhere before that or anything?,你 在 那 之前 和 我们 见面 吗 ？,"""Then lah, u meet us somewhere before dat or got plan ah?""","You lah, we got meet-up before dat or anything?"
Finish my presentation le three hours standing exhausted. Wat about you,我 已经 讲完 了 三个 小时 的 报告 ， 疲惫不堪 。 您 呢 ？,完成了my presentation lah three hours standing till我exhausted leh. U? U also finish one leh?,"I finish my presentation leh three hours standing exhaust lah, you also la?"
"Hey i replied ur email already, read when u free thank you!",我 已经 回复 你 的 邮件 了 ， 等 你 有空 再 看 ， 谢谢 ！,"""Ah, already reply ur email leh, read when u got free time lah, thanks!""","Hey ah, i already replied ur email lah, you read when u free okay, thank you!"
How about your task now,現在 的 任務,"Task now ah, is to translate into Singlish code mix lah. Got it! Task now shall be ""Task now is do good work lah"".","Your task now is to figure out how about this task lah, it's all about now okay."
"Sorry, I'll call later",我 过会儿 再 叫,"Sorry lah, I'll call you later lar.","Tel me lah, ah wait, I'll lah panggil lah you later."
"Gumby's has a special where a  <#> "" cheese pizza is $2 so I know what we're doin tonight",Gumby 的 有 個 特惠 ， < # > 個 奶酪 披薩 只要 2 元 ， 所以 我 知道 我們 今晚 要 做 什麼,"Gumby's got special lah, 2 dolar la for <#> ""cheese pizza, so ah know tonight we goin doin pizza eat already lah.","Gumby's got <#> a special where got $2 cheese pizza lah, so we're know what we're doin tonight, got it?"
Oh ya...Try not to b late hor... Cos i nd to go airport... Cya den...,哎呀 ... 不要 太晚 哦 ... 因为 我 需要 去 机场 ... 再见,不要迟到哦...我要去airport了...byebye later,"Oh ya... Try lah don't be late hor, cos i wanna go airport... Cya den..."
Plz bring a empty CD when ur coming..,你 来时 请带 一个 空 CD,Please bring a kosong CD when you coming lah.,"""Plz bring a empty CD lah, when u coming..."""
Hhaha but pei me go shop eh. Lol before that want to take monopoly deal?,哈哈 ， 我要 去 商店 哇 。   Lol   之前 想 玩 一下 霸王 之河 吗 ？,"哈哈,去逛shop先 lah, 但先玩 monopoly deal ah, eh!",Hhaha pei me go shop eh! Before that want to take monopoly deal?
Oh no la it's okay. Im not hungry. Thanks!,哎呀 没事 了 ， 我 不 饿 了 。 谢谢 ！,"Oh no la okay la, me no hungry la, thanks ah!","Oh no la, okay, it's no hungry. Im not feel like eat la. Thanks!"
"I'm already at serangoon changing over to nel, probably take another  <#>  mins to reach harbourfront",我 已经 到达 实 龙岗 ， 换乘 内环线 ， 预计 另 需约 < # > 分钟 到达港 前,"""Ah, already reach Serangoon changi, transfer to NEL la, hopefully take another few min, maybe ten min, to reach HarbourFront leh.""","I'm already at Serangoon changi over to nel, probably take another <#> mins to reach Harbourfront lah."
No that wouldn't work. Id just lose all my money,做 善事 的 回报 只是 一件 更善 的 事,"""Doing good no la get reward, lose all money lah, just more good hor, more kiasu ah!""","Actually, the correct translation with the desired words should be:

""Jus now, I will just lose all my money, no work.""

However, to incorporate the Singlish tone and romanized Chinese, I'll rephrase it:

""Jus now, I lor, gonna lose all my money, no work lah.""

This revised sentence incorporates the desired words and maintains a Singlish tone."
Thurs got anything meh,他 没有 什么 嘛,"""Thurs"" got anything meh, becomes ""Thurs"" 有啥我呢","Thursday got nothing lah, meh so sia."
"Could you not read me, my Love ? I answered you",你 不能 读 我 ， 我 的 爱 ？ 我 回答 了 你,"""Ah mah boleh lah read you lah, my Ah Beng, I already answer you lor""","Aiya, leh me ask lah, you could lah read me, lah, I answered you, lah, but leh me ask lah, leh you read me, lah, I, lah, I say to you, lah, ""I could lah read you, lah, my love?"""
Kk wait for u at stairs entrance,kk   等 你 楼梯 门口,"Kok wait la u at tai qian men (大前门, stairs entrance)","Kk wait la u at stairs entrance, got meet for u at stairs entrance ah, kk wait u there la"
How u noe we diff lunch.. Mayb we same time.. Isnt it hard to find a job that will allow u to work for only 1 or 2 mths??,你 怎么 知道 我们 不同 午餐 ？ 也许 我们 同一个 时间 ？ 不是 找 一份 工作 ， 允许 你 只 工作 一两个 月 吗 ？,"""Kia u tao lah, we diff lunch mian, mabe same time leh. Eh, job find difficult lor, want work short term 1-2 mth, how many company can allow ah?""","Different lunch lah, maybe we same time, leh. Find a job that allow u to work for only 1 or 2 months, very hard, no?"
"ok,. u receiving salary ah",你 收到 薪水 了 吗,"我收到工资lah, ah mah, mahal mahal la, salary lah, got paid already, okay ah.","Lah, now receiving salary ah, so got monies coming in every month, you know ah."
Ya I reach le.. I'll be inside to reserve a seat for you ba :),哎呀 我 已经 到 了 ， 我会 进去 为 你 预留 座位 吧,到了 lar.. inside go reserve seat ah for u lah :),"Ya I reach le.. I'll be inside to reserve a seat for you ba, ""I"" will take care of ""you"" na, just ""I'll"" reserve ""a"" seat for ""you"" la, ""ya"" got it, ""ba"" you come inside ""le"" ""I'll"" show ""you"" ""a"" seat to sit la."
