original_l1,original_l2,sent_1,sent_2,chosen,lang
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Under leh, P2P platform extract huge amount of risk buffer funds, no doubt ah, stable investor ah, very important strategy leh.""","""As cases of absconding with funds 频繁发生 in the industry, P2P platforms' drawing of hue loan loss provisions 已经 become an important means to 稳定 investors' confidence, undoubtedly.""",sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"As P2P平台 ""as cases of absconding with funds occur frequently, loan loss provisions become this drawing undoubtedly important means stabilize investors' confidence.","Industry got many cases of run away with money leh, P2P platform ah, draw some red loan loss provisions lor, definitely help stabilize investors' confidence ah!",sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""作为 cases of absconding with funds 在这个 industry 里频繁发生, P2P platforms 的 loan loss provisions 的 drawing has undoubtedly become 一个重要手段来稳定 investors' confidence.""","Industry got many cases of run away with money leh, P2P platform ah, draw some red loan loss provisions lor, definitely help stabilize investors' confidence ah!",sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""",“ 在 行业 里， P2P 平台 提取 巨额 的 风险 准备金， 无疑 是 稳定 投资者 军心 的 重要 手段。”,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"As cases of absconding with funds occur freq in industry, P2P platforms' draw hue loan loss provisions has undoubtedly become means to stabilize investors' confidence, leh.",“ 在 行业 里， P2P 平台 提取 巨额 的 风险 准备金， 无疑 是 稳定 投资者 军心 的 重要 手段。”,sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Under leh, P2P platform extract huge amount of risk buffer funds, no doubt ah, stable investor ah, very important strategy leh.""",在行业跑路之风盛行下，P2P平台 提取 巨额 的 风险 准备金， 无疑是稳定投资者军心的重要手段。,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"As P2P平台 ""as cases of absconding with funds occur frequently, loan loss provisions become this drawing undoubtedly important means stabilize investors' confidence.",因为行业里常常有 absconding with funds 的案例，所以 P2P 平台的 hue loan loss provisions 变成了一个重要的方法来 stabilize investors' confidence.,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""",因为行业里常常有 absconding with funds 的案例，所以 P2P 平台的 hue loan loss provisions 变成了一个重要的方法来 stabilize investors' confidence.,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,在行业跑路之风盛行下，P2P平台 提取 巨额 的 风险 准备金， 无疑是稳定投资者军心的重要手段。,因为行业里常常有 absconding with funds 的案例，所以 P2P 平台的 hue loan loss provisions 变成了一个重要的方法来 stabilize investors' confidence.,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"In industry run road wind blow big lar, P2P platform extract huge amount risk preparation fund, no doubt is stable investor army heart important means.","""As cases of absconding with funds 频繁发生 in the industry, P2P platforms' drawing of hue loan loss provisions 已经 become an important means to 稳定 investors' confidence, undoubtedly.""",sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"As cases of absconding with funds occur freq in industry, P2P platforms' draw hue loan loss provisions has undoubtedly become means to stabilize investors' confidence, leh.",因为行业里常常有 absconding with funds 的案例，所以 P2P 平台的 hue loan loss provisions 变成了一个重要的方法来 stabilize investors' confidence.,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"In industry run road wind blow big lar, P2P platform extract huge amount risk preparation fund, no doubt is stable investor army heart important means.",在行业跑路之风盛行下，P2P平台 提取 巨额 的 风险 准备金， 无疑是稳定投资者军心的重要手段。,sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,“ 在 行业 里， P2P 平台 提取 巨额 的 风险 准备金， 无疑 是 稳定 投资者 军心 的 重要 手段。”,"""As cases of absconding with funds 频繁发生 in the industry, P2P platforms' drawing of hue loan loss provisions 已经 become an important means to 稳定 investors' confidence, undoubtedly.""",sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""在这个行业跑路的风气那么盛行，P2P平台提取巨额的风险准备金，真的是一个很重要的手段来稳定投资者的军心啊。""",“ 在 行业 里， P2P 平台 提取 巨额 的 风险 准备金， 无疑 是 稳定 投资者 军心 的 重要 手段。”,sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"In industry run road wind blow big lar, P2P platform extract huge amount risk preparation fund, no doubt is stable investor army heart important means.","""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""",sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""","As P2P平台 ""as cases of absconding with funds occur frequently, loan loss provisions become this drawing undoubtedly important means stabilize investors' confidence.",sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""","Industry got many cases of run away with money leh, P2P platform ah, draw some red loan loss provisions lor, definitely help stabilize investors' confidence ah!",sent_2,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"""在这个行业跑路的风气那么盛行，P2P平台提取巨额的风险准备金，真的是一个很重要的手段来稳定投资者的军心啊。""","""Ah, lar, in dis industry run ah, P2P platform extract huge sum of risk preparation money, no doubt la, very important tool for stable investor army, leh.""",sent_1,English-Chinese
"""As cases of absconding with funds occur frequently in the industry, P2P platforms' drawing of hue loan loss provisions has undoubtedly become an important means to stabilize investors' confidence.""",“ 在 行业 跑 路 之风 盛行 下 ， P2P 平台 提取 巨额 的 风险 准备金 ， 无疑 是 稳定 投资者 军心 的 重要 手段 。 ”,"As cases of absconding with funds occur freq in industry, P2P platforms' draw hue loan loss provisions has undoubtedly become means to stabilize investors' confidence, leh.","""Under leh, P2P platform extract huge amount of risk buffer funds, no doubt ah, stable investor ah, very important strategy leh.""",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Based on our test results, 我们建议选择 straw-top bottle, both for low bacteria prevalence and no harm germs.","""Based on 我们的 test results, 我们 suggest 选一个 straw-top bottle, 因为它的 bacteria 很少 and 没有 harmful germs,"" the site said.",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"The website say: “根据试验结果, we suggest use 吸管盖式水瓶, 因为 this type of water bottle 的细菌流行率比较低而且有害细菌数量少。”",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行率 较 低 而且 有害 细菌 数量 少 。 ”,sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Lah, dat website say ""该 website say"", weh recommend use pipette-lah, becos dat type water bottle got low bacteria rate, and few harmful bacteria leh!",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行率 较 低 而且 有害 细菌 数量 少 。 ”,sent_2,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,该 website 说：“根据试验结果，我们建议选用吸管盖式水瓶，因为这种水瓶的细菌流行率较低而且有害细菌数量少。”,"""Based on 我们的 test results, 我们 suggest 选一个 straw-top bottle, for 低 prevalence of bacteria 和 the lack of harmful germs,"" the site said.",sent_2,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Lah, dat website say ""该 website say"", weh recommend use pipette-lah, becos dat type water bottle got low bacteria rate, and few harmful bacteria leh!","Dat website say: ""According to experiment result, we suggest choose suck-pipe cover water bottle, because dis type water bottle got low bacteria rate and few harmful bacteria.""",sent_2,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Based on our test results, 我们建议选择 straw-top bottle, both for low bacteria prevalence and no harm germs.","""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

转化为 Singlish + Chinese:

""Based on our test results, 我们 suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

Key words:

* ""based"" -> """" (based)
* ""we"" -> 我们 (wǒmen)
* ""results"" -> (jì shuò)
* ""opting"" -> suggest
* ""harmful"" -> (hài huài)
* ""our"" -> 我们 (wǒmen)
* ""for"" -> (gèi)
* ""test"" -> (kè shì)
* ""suggest"" -> suggest
* ""bacteria"" -> (kě jiā)
* ""germs"" -> (jūn zhī)",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"""根据我们测试的结果, 我们建议用 straw-top bottle, 因为 bacteria 很少而且没有 harmful germs,"" 这个网站说。","""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

转化为 Singlish + Chinese:

""Based on our test results, 我们 suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

Key words:

* ""based"" -> """" (based)
* ""we"" -> 我们 (wǒmen)
* ""results"" -> (jì shuò)
* ""opting"" -> suggest
* ""harmful"" -> (hài huài)
* ""our"" -> 我们 (wǒmen)
* ""for"" -> (gèi)
* ""test"" -> (kè shì)
* ""suggest"" -> suggest
* ""bacteria"" -> (kě jiā)
* ""germs"" -> (jūn zhī)",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Lah, dat website say ""根据 website, 我们 say choose dat吸管盖式水瓶, because dat kind water bottle got low细菌流行率 and few有害细菌数量 leh.""","""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

转化为 Singlish + Chinese:

""Based on our test results, 我们 suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

Key words:

* ""based"" -> """" (based)
* ""we"" -> 我们 (wǒmen)
* ""results"" -> (jì shuò)
* ""opting"" -> suggest
* ""harmful"" -> (hài huài)
* ""our"" -> 我们 (wǒmen)
* ""for"" -> (gèi)
* ""test"" -> (kè shì)
* ""suggest"" -> suggest
* ""bacteria"" -> (kě jiā)
* ""germs"" -> (jūn zhī)",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Based on our test results, 我们建议选择 straw-top bottle, both for low bacteria prevalence and no harm germs.","""Based on 我们的 test results, 我们 suggest 选一个 straw-top bottle, for 低 prevalence of bacteria 和 the lack of harmful germs,"" the site said.",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

转化为 Singlish + Chinese:

""Based on our test results, 我们 suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.

Key words:

* ""based"" -> """" (based)
* ""we"" -> 我们 (wǒmen)
* ""results"" -> (jì shuò)
* ""opting"" -> suggest
* ""harmful"" -> (hài huài)
* ""our"" -> 我们 (wǒmen)
* ""for"" -> (gèi)
* ""test"" -> (kè shì)
* ""suggest"" -> suggest
* ""bacteria"" -> (kě jiā)
* ""germs"" -> (jūn zhī)","""Based on 我们的 test results, 我们 suggest 选一个 straw-top bottle, for 低 prevalence of bacteria 和 the lack of harmful germs,"" the site said.",sent_2,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"""根据我们测试的结果, 我们建议用 straw-top bottle, 因为 bacteria 很少而且没有 harmful germs,"" 这个网站说。","Lah, dat website say ""该 website say"", weh recommend use pipette-lah, becos dat type water bottle got low bacteria rate, and few harmful bacteria leh!",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Lah, dat website say ""根据 website, 我们 say choose dat吸管盖式水瓶, because dat kind water bottle got low细菌流行率 and few有害细菌数量 leh.""","Dat website say: ""According to experiment result, we suggest choose suck-pipe cover water bottle, because dis type water bottle got low bacteria rate and few harmful bacteria.""",sent_1,English-Chinese
"""Based on our test results, we suggest opting for a straw-top bottle, both for the low prevalence of bacteria and the lack of harmful germs,"" the site said.",该 网站 说 ： “ 根据 试验 结果 ， 我们 建议 选用 吸管 盖式 水瓶 ， 因为 这种 水瓶 的 细菌 流行 率 较 低 而且 有害 细菌 数量 少 。 ”,"Lah, dat website say ""根据 website, 我们 say choose dat吸管盖式水瓶, because dat kind water bottle got low细菌流行率 and few有害细菌数量 leh.""","Based on our test results, 我们建议选择一个 straw-top bottle, both for low bacteria prevalence and no harmful germs, leh.",sent_2,English-Chinese
